state,age,i_urban,i_citizen,i_noenglish,i_only_english,i_drive_to_work,i_asian,i_black,i_indigenous,i_white,i_female,i_male,i_grad_college,i_grad_highschool,i_married,i_married_mult,personal_income,i_health_insurance,i_internet,time_depart,time_arrive,time_commuting,weights
AL,48,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,5.8,1,1,362,389,27,7.031188652409353e-8
AL,26,0,1,0,1,1,0,0,0,1,0,1,1,1,1,0,7.01,1,1,452,474,22,7.128553701606593e-8
AL,49,0,1,0,1,1,0,0,0,1,1,0,0,1,1,1,1.8,1,1,245,259,14,7.071927279326992e-8
AL,68,1,1,0,1,1,0,0,0,1,1,0,0,1,1,0,2.37,1,1,645,654,9,7.001416254091186e-8
AL,46,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,1.2,1,1,452,469,17,7.143529801778605e-8
AL,31,0,1,0,1,1,0,0,0,1,1,0,0,1,1,0,1.8,1,0,625,634,9,7.378132191071618e-8
AL,48,0,1,0,1,1,0,0,0,1,0,1,0,1,1,0,15,1,1,377,454,77,7.098694629700881e-8
AL,41,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,3,1,1,605,614,9,7.097124770879953e-8
AL,43,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1.68,1,1,332,344,12,7.110623380591924e-8
AL,37,0,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0.6,1,1,482,494,12,7.089761061261694e-8
AL,47,1,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0.44,0,1,502,534,32,7.02224394717322e-8
AL,57,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,2.59,1,1,362,379,17,7.001416254091186e-8
AL,48,1,1,0,1,1,0,0,0,1,1,0,0,1,1,1,2.7,1,1,437,459,22,7.02522427747814e-8
AL,55,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,1.2,1,1,275,299,24,7.140532093503511e-8
AL,26,1,1,0,1,1,0,0,0,1,0,1,1,1,0,0,4.15,1,1,407,419,12,7.246165633803906e-8
AL,53,1,1,0,1,1,0,0,0,1,1,0,0,1,1,0,3.6,1,1,1125,1134,9,7.019264854290044e-8
AL,33,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,2.36,1,1,392,404,12,7.131546434433412e-8
AL,40,0,1,0,1,1,0,0,0,1,0,1,0,1,1,0,3.2,1,1,332,364,32,7.054137878411082e-8
AL,62,0,1,0,1,1,0,0,0,1,0,1,0,0,1,1,4,1,1,215,289,74,7.068959300145283e-8
AL,35,0,1,0,1,1,0,0,0,1,0,1,1,1,1,0,8,1,1,362,394,32,7.086785677561955e-8
AL,61,1,1,0,1,1,0,0,0,1,1,0,0,1,0,1,4.8,1,1,362,384,22,7.001416254091186e-8
AL,52,0,1,0,1,0,0,0,0,1,0,1,1,1,1,0,3.5,1,1,275,294,19,7.089761061261694e-8
AL,36,1,1,0,1,1,0,0,0,1,0,1,0,1,1,0,6.69,1,1,995,1194,199,6.977687195883421e-8
AL,34,1,1,0,1,1,0,0,0,1,0,1,1,1,1,0,19.3,1,1,432,464,32,6.995476596799332e-8
AL,37,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0,2.5,0,1,482,504,22,7.073078271780303e-8
AL,31,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,5.9,1,1,452,469,17,7.071927279326992e-8
AL,31,0,1,0,1,1,0,0,0,1,0,1,0,1,1,0,9,1,1,542,564,22,7.060062754315409e-8
AL,63,1,1,0,1,1,0,0,0,1,0,1,1,1,1,0,12.5,1,1,452,474,22,7.04313227396237e-8
AL,48,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,4,1,1,302,334,32,7.016286998314834e-8
AL,64,0,1,0,1,1,0,0,0,1,0,1,0,1,1,1,5,1,1,422,429,7,7.074896491314156e-8
AL,52,0,1,0,1,1,0,0,0,1,1,0,1,1,1,0,2.4,1,1,497,519,22,7.092737680842495e-8
AL,56,0,1,0,1,1,0,0,0,1,0,1,1,1,1,0,19.575,1,1,482,504,22,7.086785677561955e-8
AL,32,0,1,0,1,1,0,0,0,1,1,0,0,1,1,0,1.5,1,1,512,524,12,7.249237743902126e-8
AL,53,0,1,0,1,1,0,0,0,1,1,0,1,1,1,0,2.5,1,1,432,484,52,7.074896491314156e-8
AL,45,0,1,0,1,1,0,0,0,1,0,1,1,1,0,0,4.9,1,1,352,364,12,7.048217921456996e-8
AL,46,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,2.1,0,0,665,709,44,7.440305167230181e-8
AL,31,0,1,0,1,1,0,0,0,1,1,0,1,1,0,0,8.4,1,1,362,394,32,7.054137878411082e-8
AL,52,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,1.8,1,1,437,444,7,7.077866936618847e-8
AL,56,0,1,0,1,1,0,1,0,0,0,1,1,1,1,0,17.1,1,1,422,434,12,7.065992553257177e-8
AL,41,0,1,0,1,1,0,0,0,1,0,1,1,1,1,0,8,1,1,452,499,47,7.054137878411082e-8
AL,40,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,2.4,0,1,392,404,12,7.319544252020775e-8
AL,58,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,15,1,1,417,419,2,7.131546434433412e-8
AL,62,1,1,0,1,1,0,1,0,0,1,0,1,1,0,0,6.6,1,1,467,484,17,7.02224394717322e-8
NA,58,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,4.23,0,1,507,509,2,7.054137878411082e-8
NA,50,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,3.4,1,1,532,534,2,7.054137878411082e-8
NA,31,0,1,0,1,1,0,0,0,1,0,1,0,1,1,0,3.66,1,1,347,364,17,7.31647346321933e-8
NA,48,0,1,0,1,1,0,0,0,1,1,0,1,1,1,1,1.5,1,1,527,539,12,7.122571963150706e-8
NA,33,1,1,0,1,1,0,0,0,1,1,0,1,1,1,0,1.41,1,1,482,514,32,7.112194451878423e-8
NA,51,0,1,0,1,1,0,0,0,1,0,1,0,1,1,0,13.66,1,1,587,604,17,7.06302703815103e-8
NA,24,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,4.63,1,1,1125,1134,9,7.434064606484789e-8
NA,53,1,1,0,0,1,0,0,1,0,0,1,1,1,1,1,9.16,1,1,452,479,27,7.046121280623046e-8
NA,48,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1.61,1,1,347,369,22,7.016286998314834e-8
NA,60,0,1,0,1,1,0,0,0,1,0,1,0,1,1,0,9.11,1,0,332,364,32,7.071927279326992e-8
AZ,55,1,1,0,1,1,0,0,0,1,1,0,0,1,0,0,2.96,1,1,482,524,42,7.010334995034295e-8
AZ,40,1,1,0,0,1,0,0,0,1,1,0,0,1,1,1,4,1,1,422,439,17,7.370100230790986e-8
AZ,57,1,1,0,1,1,0,1,0,0,1,0,0,1,1,0,4.5,1,1,1055,1084,29,7.007360846702485e-8
AZ,64,1,1,0,1,1,0,1,0,0,1,0,0,1,0,1,1.05,1,1,387,409,22,7.464411601641011e-8
AZ,64,1,1,0,1,1,0,0,0,1,0,1,0,1,1,0,6,1,1,362,394,32,7.100136204330304e-8
AZ,37,1,1,0,1,1,0,0,0,1,1,0,0,1,0,0,3.6,1,1,467,479,12,7.010334995034295e-8
AZ,49,1,1,0,0,1,0,0,0,1,0,1,0,1,1,0,13,1,1,482,489,7,7.157591695688696e-8
AZ,40,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0.77,1,1,497,529,32,7.089761061261694e-8
AZ,63,1,1,0,0,1,0,0,1,0,1,0,0,1,1,0,3.7,1,0,422,469,47,7.040144508325824e-8
AZ,56,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,3.403,1,1,815,834,19,7.007360846702485e-8
AZ,51,1,1,0,1,1,0,0,0,0,0,1,0,1,1,1,0.22,0,1,512,559,47,7.160628245202988e-8
AZ,54,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,3.9,1,1,245,274,29,7.007360846702485e-8
AZ,34,1,1,0,1,1,0,0,0,1,0,1,0,1,0,0,5,1,1,362,364,2,7.046121280623046e-8
AZ,24,1,1,0,1,1,0,0,0,1,1,0,0,1,0,0,2.4,1,1,542,574,32,7.345148341279231e-8
AZ,50,1,1,0,1,1,0,1,0,0,1,0,1,1,1,1,11,1,1,422,439,17,7.194113650195735e-8
AZ,42,1,1,0,1,1,0,0,0,1,1,0,0,1,0,0,3,1,1,362,384,22,7.004387933225685e-8
AZ,40,1,1,0,1,1,0,0,0,1,1,0,1,1,0,0,13.19,1,1,1325,1339,14,6.98657635562337e-8
AZ,33,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1.62,1,1,635,649,14,7.467575594520429e-8
AZ,66,1,1,0,1,1,0,0,0,1,1,0,1,1,0,0,2.49,1,0,572,594,22,7.663085129166309e-8
AZ,60,1,1,0,1,1,0,0,1,0,0,1,0,1,1,0,2,1,1,815,1014,199,7.001416254091186e-8
AZ,39,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0,5.1,1,1,452,474,22,7.010334995034295e-8
AZ,32,1,1,0,1,1,0,0,0,1,1,0,1,1,0,0,7.7,1,1,422,434,12,7.100136204330304e-8
AZ,32,1,1,0,1,1,0,0,0,1,0,1,1,1,0,0,5,1,1,377,384,7,7.016286998314834e-8
AZ,51,1,1,0,1,1,0,0,0,1,0,1,0,1,0,0,5.9,1,1,392,414,22,7.004387933225685e-8
AZ,58,1,1,0,1,1,0,0,0,1,1,0,0,1,0,0,2.5,1,1,417,434,17,7.055095751905751e-8
AZ,26,1,1,0,1,1,0,0,0,1,1,0,0,1,1,0,1,1,1,422,454,32,7.007360846702485e-8
AZ,62,1,1,0,1,1,0,0,0,1,1,0,0,1,1,1,4.08,1,1,482,534,52,7.004387933225685e-8
AZ,52,1,1,0,1,1,0,0,0,1,0,1,0,1,1,0,6,1,1,1355,1399,44,6.989541870729517e-8
AZ,34,1,1,0,1,1,0,0,0,1,1,0,1,1,0,0,3.7,1,1,467,484,17,7.001416254091186e-8
AZ,52,1,1,0,1,1,0,0,0,1,0,1,0,1,1,0,2.6,0,1,1025,1084,59,7.064081410975851e-8
AZ,59,1,1,0,1,1,0,0,0,1,1,0,0,1,1,0,6.8,1,1,392,439,47,6.998445808786496e-8
AZ,48,1,1,0,1,1,0,0,0,1,1,0,1,1,1,0,4.2,1,1,347,364,17,7.034172698064263e-8
AZ,48,1,1,0,1,1,0,0,0,1,1,0,1,1,1,0,9.6,1,1,482,489,7,7.010334995034295e-8
AZ,64,1,1,0,1,1,0,0,0,1,0,1,0,1,1,0,2.5,1,1,765,789,24,6.989541870729517e-8
AZ,38,1,1,0,1,1,0,0,0,1,1,0,1,1,1,0,4.3,1,1,265,284,19,6.995476596799332e-8
AZ,40,0,1,0,1,1,0,0,0,1,1,0,0,1,1,0,6,1,1,332,384,52,7.1136086657258e-8
AZ,60,1,1,0,1,1,0,0,0,1,0,1,0,1,1,0,9.16,1,1,362,379,17,7.03715798319814e-8
AZ,27,1,1,0,1,1,0,0,1,0,1,0,0,1,1,0,1.8,1,1,452,469,17,7.031188652409353e-8
AZ,45,1,1,0,1,1,0,0,0,1,1,0,0,1,0,1,1.35,1,1,362,384,22,7.103148888635654e-8
AZ,52,1,1,0,1,1,0,0,0,1,0,1,0,1,0,0,8,1,1,422,444,22,7.031188652409353e-8
AZ,44,1,1,0,1,1,0,0,0,1,0,1,0,1,1,0,4.62,1,1,755,844,89,7.02522427747814e-8
AZ,56,0,1,0,1,1,0,0,0,1,1,0,0,1,1,1,3.5,1,1,215,219,4,7.152530399596837e-8
AZ,27,1,1,0,1,1,0,0,0,1,1,0,1,1,1,0,4.3,1,1,302,324,22,7.016286998314834e-8
AZ,58,0,1,0,1,1,0,0,0,1,1,0,1,1,0,0,8.575,1,1,482,489,7,7.089761061261694e-8
AZ,41,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,1.7,1,1,875,889,14,7.116595190853484e-8
AZ,34,1,1,0,1,1,0,0,0,1,1,0,0,1,1,0,3.6,1,1,1135,1154,19,7.040144508325824e-8
AZ,66,1,1,0,1,1,0,0,0,1,1,0,0,1,0,0,3.05,1,1,467,484,17,7.028205845718783e-8
AZ,46,1,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0.65,1,1,725,739,14,7.031188652409353e-8
AZ,58,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,3.3,1,1,1085,1099,14,7.104656528246443e-8
AZ,41,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0,9.6,1,1,392,419,27,7.040144508325824e-8
AZ,60,1,1,0,1,1,0,0,0,1,0,1,0,1,1,0,4.89,1,1,235,244,9,7.001416254091186e-8
AZ,26,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1.5,0,1,885,914,29,7.088097970466464e-8
AZ,51,1,1,0,1,1,0,0,0,1,0,1,0,1,0,0,2.7,1,1,422,434,12,7.073078271780303e-8
AZ,64,1,1,0,1,1,0,0,0,1,1,0,1,1,1,0,5.75,1,1,477,494,17,6.995476596799332e-8
AZ,40,1,1,0,1,1,0,0,0,1,0,1,0,1,0,0,3.1,1,1,482,489,7,7.363854484702521e-8
AZ,43,1,1,0,1,1,0,0,0,1,0,1,1,1,1,0,14,1,1,245,289,44,7.112194451878423e-8
AZ,65,1,1,0,1,1,0,0,0,1,0,1,1,1,1,0,6.34,1,1,467,499,32,7.136371121174611e-8
AZ,36,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,2.5,0,1,392,419,27,7.974227691534027e-8
AZ,50,1,1,0,1,1,0,0,0,1,0,1,0,1,1,0,2,1,1,185,194,9,7.04313227396237e-8
AZ,61,1,1,0,1,1,0,0,0,1,0,1,1,1,1,1,7.5,1,1,407,439,32,7.028205845718783e-8
AZ,60,1,1,0,1,1,0,0,0,1,0,1,1,1,1,0,10.5,1,1,1055,1069,14,7.121251291533499e-8
AZ,46,1,1,0,1,1,0,0,0,1,1,0,0,1,1,0,11.8,1,1,452,489,37,6.98657635562337e-8
AZ,52,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,2.5,1,1,302,324,22,6.998445808786496e-8
AZ,59,0,1,0,1,1,0,0,0,1,0,1,1,1,1,1,32.12,1,1,452,464,12,7.203746138779273e-8
AZ,57,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,3.3,1,NA,302,324,22,7.016286998314834e-8
AZ,48,1,1,0,1,1,0,0,0,1,0,1,0,1,1,1,8.3,1,1,422,499,77,6.989541870729517e-8
AZ,54,1,1,0,0,1,0,0,0,1,1,0,1,1,1,0,2.16,1,1,542,574,32,7.064081410975851e-8
AZ,38,1,1,0,1,1,0,0,0,1,1,0,1,1,1,0,3.1,1,1,392,399,7,7.001416254091186e-8
AZ,38,1,1,0,1,1,0,0,0,1,0,1,0,1,1,1,1.85,1,1,1265,1274,9,7.004387933225685e-8
AZ,50,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,40.1,1,1,452,484,32,7.127295456251613e-8
AZ,25,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,4.9,1,1,512,534,22,7.02224394717322e-8
AZ,36,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0.4,1,1,542,549,7,7.02224394717322e-8
AZ,34,1,1,0,1,1,0,0,0,1,1,0,1,1,0,0,4,1,1,452,484,32,7.03715798319814e-8
AZ,44,1,1,0,0,1,1,0,0,0,1,0,0,1,1,1,2.4,1,1,422,454,32,7.016286998314834e-8
AZ,31,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0.81,1,1,542,559,17,6.992508617617623e-8
AZ,49,1,1,0,1,1,0,0,0,1,0,1,0,1,1,0,11.5,1,1,302,314,12,7.04313227396237e-8
AZ,38,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,4.6,1,1,165,179,14,6.989541870729517e-8
AZ,57,1,1,0,1,1,0,0,0,1,0,1,1,1,1,0,16,1,1,422,454,32,7.001416254091186e-8
AZ,61,1,1,0,1,1,0,0,0,1,0,1,0,1,1,1,8.4,1,1,332,364,32,7.02522427747814e-8
AZ,43,1,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0.47,0,1,497,514,17,7.160628245202988e-8
AZ,52,1,1,0,1,1,0,0,0,1,1,0,0,1,1,0,1.2,1,1,512,534,22,7.016286998314834e-8
AZ,25,1,1,1,0,1,0,0,0,1,0,1,0,1,0,0,3,1,1,205,234,29,7.18191943720447e-8
AZ,39,1,1,0,1,1,0,0,0,1,1,0,0,1,0,0,4.53,1,1,422,449,27,7.064081410975851e-8
AZ,50,1,1,0,1,1,0,0,0,1,1,0,1,1,1,0,5.604,1,1,397,439,42,7.019264854290044e-8
AZ,51,1,1,0,1,1,0,0,0,1,1,0,0,1,1,1,5.4,1,1,392,414,22,6.989541870729517e-8
AZ,34,1,1,0,1,1,0,0,0,1,1,0,1,1,0,0,5,1,1,437,469,32,7.001416254091186e-8
AZ,29,1,1,0,1,1,0,0,0,1,1,0,1,1,1,0,4.003,1,1,422,429,7,7.02224394717322e-8
AZ,29,1,1,0,1,1,0,0,0,1,0,1,0,1,0,0,16,1,1,542,554,12,7.004387933225685e-8
AZ,39,1,1,0,1,1,0,0,0,1,1,0,1,1,1,0,2,1,1,487,499,12,7.109178011889822e-8
AZ,46,1,1,0,0,1,1,0,0,0,0,1,0,1,1,0,2.2,1,1,362,514,152,7.013310378734034e-8
AZ,58,1,1,0,1,1,0,0,0,1,0,1,1,1,1,1,6.8,1,1,392,414,22,7.013310378734034e-8
AZ,43,1,1,0,1,1,0,0,0,1,1,0,1,1,0,0,7.1,1,1,462,494,32,6.983612071787749e-8
AZ,55,1,1,0,1,1,0,0,0,1,0,1,0,1,0,1,7.2,1,1,422,434,12,7.001416254091186e-8
AZ,51,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1.35,1,0,572,594,22,7.040144508325824e-8
AZ,37,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0.3,0,0,845,874,29,7.188014011679278e-8
AZ,42,0,1,0,1,1,0,0,0,1,1,0,0,1,1,0,3.2,1,1,377,389,12,7.781845858319886e-8
AZ,52,1,1,0,0,1,0,0,0,1,0,1,0,1,1,0,12.5,1,1,332,364,32,7.055095751905751e-8
AZ,65,1,1,0,1,1,0,0,0,1,0,1,1,1,1,1,6.201,1,1,437,444,7,6.989541870729517e-8
AZ,52,1,1,0,1,1,0,0,0,1,1,0,1,1,1,1,22.5,1,1,422,484,62,7.304777908446946e-8
AZ,25,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,2.2,1,1,332,344,12,7.197165369784371e-8
AZ,64,1,1,0,1,0,0,0,0,1,1,0,0,1,1,0,1.65,0,1,482,484,2,7.03715798319814e-8
AZ,58,1,1,0,1,1,0,0,0,1,1,0,1,1,0,0,6.1,1,1,542,549,7,7.082086348283455e-8
AZ,63,1,1,0,1,1,0,0,0,1,0,1,0,1,0,0,2,0,1,482,489,7,7.04313227396237e-8
