state,age,i_urban,i_drive_to_work,i_physical_disability,socioeconomic_index,poverty_pct,i_female,i_male,i_grad_college,i_grad_highschool,i_married,i_married_mult,personal_income,personal_nonwage_income,i_health_insurance,i_moved_in_last_year,i_moved_out_of_state_in_last_year,lived_abroad_in_last_year,time_depart,time_arrive,time_commuting,education,ability,weights
AL,50,0,1,FALSE,18.29,501,0,1,1,1,1,0,9.5,0,1,0,0,0,347,369,22,10,10288.897533287938,3.0068719086972406e-7
AL,43,0,1,FALSE,30.61,207,0,1,0,1,1,0,3.5,0,1,0,0,0,185,239,54,6,-1622.0971939430005,2.930868769616432e-7
AL,66,0,1,FALSE,46.45,311,0,1,0,1,0,0,4,0,1,1,1,1,1365,1429,64,7,-8940.382600519617,2.9389622019885496e-7
AL,67,0,1,FALSE,46.67,501,1,0,1,1,0,0,9.8,0,1,0,0,0,512,534,22,10,3634.186816204532,2.968046886700752e-7
AL,28,1,1,FALSE,60.08,501,1,0,1,1,1,0,4.4,0,1,0,0,0,377,404,27,11,1673.1000162223434,2.935287421820871e-7
AL,38,0,1,FALSE,35.78,267,1,0,0,1,0,0,3.5,0,0,0,0,0,332,364,32,6,-3775.932606263489,2.950562332831779e-7
AL,71,1,1,FALSE,24.87,184,1,0,0,1,0,0,3.65,0,1,0,0,0,482,499,17,7,-971.076076326271,3.349646213184792e-7
AL,35,0,1,FALSE,35.78,276,1,0,0,1,1,1,3,0,1,0,0,0,452,459,7,8,1663.828546900536,2.930868769616432e-7
AL,60,0,1,FALSE,53.6,501,1,0,0,1,1,0,11.662,0,1,0,0,0,437,459,22,6,-7813.281084704284,2.935490904295062e-7
AL,36,0,1,FALSE,47.04,304,1,0,1,1,1,0,0.34,0,1,0,0,0,422,434,12,10,6209.075587705269,3.109188401041656e-7
AL,35,0,1,FALSE,31.85,348,0,1,0,1,1,0,7,0,1,0,0,0,362,424,62,8,5209.615191331322,3.005688096217773e-7
AL,35,0,1,FALSE,36.09,470,1,0,0,1,1,0,3.8,0,1,0,0,0,482,544,62,6,-6636.098886997221,2.945916894828013e-7
AL,67,0,1,FALSE,13.88,320,1,0,0,1,1,0,3.14,0,1,0,0,0,392,409,17,6,1107.8920160010312,2.955214964698612e-7
AL,56,1,1,FALSE,36.09,501,0,1,1,1,1,0,18.52,0,1,0,0,0,442,489,47,10,4243.423419330837,2.921193870790244e-7
AL,56,0,1,FALSE,61.07,338,1,0,1,1,1,0,4.56,0,1,0,0,0,422,444,22,11,4534.956885551008,2.9703858356411744e-7
AL,31,1,1,FALSE,29.81,317,0,1,0,1,1,0,4.7,0,1,0,0,0,875,884,9,6,-2061.2608942118077,2.8781483377214554e-7
AL,64,0,1,FALSE,24.6,190,0,1,1,1,1,1,2.7,0,0,0,0,0,482,559,77,10,11650.402640894583,3.0282590307016067e-7
AL,46,0,1,FALSE,38.51,308,1,0,0,1,0,0,3.5,0,1,0,0,0,572,579,7,8,1332.8521956482418,2.954051131698299e-7
AL,47,1,1,FALSE,80.26,501,0,1,1,1,1,1,20.4,0,1,0,0,0,407,484,77,11,966.5413233556828,3.0406636669515925e-7
AL,40,1,1,FALSE,43.04,216,1,0,0,1,1,0,1.6,0,1,0,0,0,487,499,12,8,-2226.8998575019505,3.004336215516715e-7
